iter SLP Tperiod AMP_WK Xslp
563 0.08 9 0.72 895.43
564 0.08 9 0.83 895.43
565 0.08 9 0.94 895.43
566 0.08 9 1.06 895.43
567 0.08 9 1.17 895.43
568 0.08 9 1.28 895.43
569 0.08 9 1.39 895.43
570 0.08 9 1.5 895.43
571 0.08 10 0.5 895.43
572 0.08 10 0.61 895.43
573 0.08 10 0.72 895.43
574 0.08 10 0.83 895.43
575 0.08 10 0.94 895.43
576 0.08 10 1.06 895.43
577 0.08 10 1.17 895.43
578 0.08 10 1.28 895.43
579 0.08 10 1.39 895.43
580 0.08 10 1.5 895.43
581 0.08 11 0.5 895.43
582 0.08 11 0.61 895.43
583 0.08 11 0.72 895.43
584 0.08 11 0.83 895.43
585 0.08 11 0.94 895.43
586 0.08 11 1.06 895.43
587 0.08 11 1.17 895.43
588 0.08 11 1.28 895.43
589 0.08 11 1.39 895.43
590 0.08 11 1.5 895.43
591 0.08 12 0.5 895.43
592 0.08 12 0.61 895.43
593 0.08 12 0.72 895.43
594 0.08 12 0.83 895.43
595 0.08 12 0.94 895.43
596 0.08 12 1.06 895.43
597 0.08 12 1.17 895.43
598 0.08 12 1.28 895.43
599 0.08 12 1.39 895.43
600 0.08 12 1.5 895.43
601 0.08 3 0.5 904
602 0.08 3 0.61 904
603 0.08 3 0.72 904
604 0.08 3 0.83 904
605 0.08 3 0.94 904
606 0.08 3 1.06 904
607 0.08 3 1.17 904
608 0.08 3 1.28 904
609 0.08 3 1.39 904
610 0.08 3 1.5 904
611 0.08 4 0.5 904
612 0.08 4 0.61 904
613 0.08 4 0.72 904
614 0.08 4 0.83 904
615 0.08 4 0.94 904
616 0.08 4 1.06 904
617 0.08 4 1.17 904
618 0.08 4 1.28 904
619 0.08 4 1.39 904
620 0.08 4 1.5 904
621 0.08 5 0.5 904
622 0.08 5 0.61 904
623 0.08 5 0.72 904
624 0.08 5 0.83 904
625 0.08 5 0.94 904
626 0.08 5 1.06 904
627 0.08 5 1.17 904
628 0.08 5 1.28 904
629 0.08 5 1.39 904
630 0.08 5 1.5 904
631 0.08 6 0.5 904
632 0.08 6 0.61 904
633 0.08 6 0.72 904
634 0.08 6 0.83 904
635 0.08 6 0.94 904
636 0.08 6 1.06 904
637 0.08 6 1.17 904
638 0.08 6 1.28 904
639 0.08 6 1.39 904
640 0.08 6 1.5 904
641 0.08 7 0.5 904
642 0.08 7 0.61 904
643 0.08 7 0.72 904
644 0.08 7 0.83 904
645 0.08 7 0.94 904
646 0.08 7 1.06 904
647 0.08 7 1.17 904
648 0.08 7 1.28 904
649 0.08 7 1.39 904
650 0.08 7 1.5 904
651 0.08 8 0.5 904
652 0.08 8 0.61 904
653 0.08 8 0.72 904
654 0.08 8 0.83 904
655 0.08 8 0.94 904
656 0.08 8 1.06 904
657 0.08 8 1.17 904
658 0.08 8 1.28 904
659 0.08 8 1.39 904
660 0.08 8 1.5 904
661 0.08 9 0.5 904
662 0.08 9 0.61 904
663 0.08 9 0.72 904
664 0.08 9 0.83 904
665 0.08 9 0.94 904
666 0.08 9 1.06 904
667 0.08 9 1.17 904
668 0.08 9 1.28 904
669 0.08 9 1.39 904
670 0.08 9 1.5 904
671 0.08 10 0.5 904
672 0.08 10 0.61 904
673 0.08 10 0.72 904
674 0.08 10 0.83 904
675 0.08 10 0.94 904
676 0.08 10 1.06 904
677 0.08 10 1.17 904
678 0.08 10 1.28 904
679 0.08 10 1.39 904
680 0.08 10 1.5 904
681 0.08 11 0.5 904
682 0.08 11 0.61 904
683 0.08 11 0.72 904
684 0.08 11 0.83 904
685 0.08 11 0.94 904
686 0.08 11 1.06 904
687 0.08 11 1.17 904
688 0.08 11 1.28 904
689 0.08 11 1.39 904
690 0.08 11 1.5 904
691 0.08 12 0.5 904
692 0.08 12 0.61 904
693 0.08 12 0.72 904
694 0.08 12 0.83 904
695 0.08 12 0.94 904
696 0.08 12 1.06 904
697 0.08 12 1.17 904
698 0.08 12 1.28 904
699 0.08 12 1.39 904
700 0.08 12 1.5 904
701 0.09 3 0.5 911.5
702 0.09 3 0.61 911.5
703 0.09 3 0.72 911.5
704 0.09 3 0.83 911.5
705 0.09 3 0.94 911.5
706 0.09 3 1.06 911.5
707 0.09 3 1.17 911.5
708 0.09 3 1.28 911.5
709 0.09 3 1.39 911.5
710 0.09 3 1.5 911.5
711 0.09 4 0.5 911.5
712 0.09 4 0.61 911.5
713 0.09 4 0.72 911.5
714 0.09 4 0.83 911.5
715 0.09 4 0.94 911.5
716 0.09 4 1.06 911.5
717 0.09 4 1.17 911.5
718 0.09 4 1.28 911.5
719 0.09 4 1.39 911.5
720 0.09 4 1.5 911.5
721 0.09 5 0.5 911.5
722 0.09 5 0.61 911.5
723 0.09 5 0.72 911.5
724 0.09 5 0.83 911.5
725 0.09 5 0.94 911.5
726 0.09 5 1.06 911.5
